std_dev,color_variance,damage_score,contamination_score,red,green,blue,color_name,is_rough,is_printed,damage_detected,contamination_detected,fabric_type,quality,waste_category
21.973713224089863,26.84735596663437,0.21490351648907197,0.06413302045456913,17,93,234,White,0,1,1,0,Polyester,medium,Repairable
16.89388559063052,31.618215926394335,0.34794597816040873,0.002914152039010434,150,178,151,Yellow,0,1,1,0,Polyester,medium,Repairable
23.18150830480554,16.02429940180013,0.0189148453898292,0.0007853882918084993,76,137,170,White,1,0,0,0,Cotton,high,Reusable
30.184238851264205,12.653159185906997,0.13298774492038534,0.1166407249163637,48,139,100,White,1,0,0,0,Linen,high,Reusable
16.126773002213312,6.978193681306422,0.17968027008590615,0.14012716678147097,235,224,115,White,0,0,0,0,Silk,high,Reusable
16.126904344406555,10.095073640252538,0.11607514619339449,0.01041890682176123,241,225,32,Blue,0,0,0,0,Nylon,high,Reusable
30.63370252405913,55.3891331037047,0.3596765170677164,0.32257366796656767,169,209,77,Brown,1,1,1,1,Wool,low,Recyclable
24.13947783322327,34.93615496884144,0.5896164339280702,0.44576913647645056,102,166,23,Grey,1,1,1,1,Cotton,low,Hazardous
14.244204912520383,3.787107605503742,0.519602890747888,0.29978750497504597,235,207,149,White,0,0,1,1,Silk,low,Recyclable
22.340480348687716,4.130504519077158,0.46034926368351214,0.0011705095375531336,43,236,51,Blue,1,0,1,0,Denim,medium,Repairable
14.292658457500302,25.782392740621898,0.00014152592219864754,0.0004406714445943043,249,195,242,Blue,0,1,0,0,Polyester,high,Reusable
14.274161971437945,26.567177568535605,0.5480090645427131,0.1431444642329667,108,137,100,White,0,1,1,0,Polyester,medium,Repairable
19.935698172528273,26.586606023808372,0.0033532531086653836,0.0005172638266295203,128,91,115,Blue,0,1,0,0,Polyester,high,Reusable
2.693758042737617,16.940530477355626,0.027332576245923824,0.20707002606403016,6,104,250,Red,0,0,0,1,Cotton,medium,Upcyclable
4.200657339895738,18.494548879965198,0.08300662001111588,0.8945758639593547,47,209,122,White,0,0,0,1,Silk,medium,Upcyclable
13.501699766072218,23.93455428991229,0.469890063014161,0.00780931229905203,111,255,214,Beige,0,0,1,0,Cotton,medium,Repairable
9.89735103732461,21.030716075519965,0.04875468728080669,0.1480972031986071,212,72,5,Red,0,0,0,0,Cotton,high,Reusable
20.51397866076219,0.5,0.09457186143417302,0.36457998758501836,143,213,146,Brown,0,0,0,1,Cotton,medium,Upcyclable
10.735807395830314,17.242404433097676,0.017963471992982337,0.12262310887700577,47,9,75,Yellow,0,0,0,0,Silk,high,Reusable
6.701570389317668,9.783122788876238,0.21014662920635271,0.1460446508937146,205,103,89,Pink,0,0,1,0,Silk,medium,Repairable
29.72519015137243,22.102537026902144,0.011164903696563769,0.45409294363257924,170,150,156,Black,1,0,0,1,Wool,medium,Upcyclable
16.193789596107713,55.82310803124092,0.4511799756505126,0.14660748084810593,50,234,122,White,0,1,1,0,Polyester,medium,Repairable
18.54022563750339,24.409779985691653,0.3413576197330873,0.211103055206779,106,204,251,Grey,0,0,1,1,Nylon,low,Upcyclable
6.602014510292346,16.237643765931224,0.10676060018367185,0.002038839282991861,65,215,63,Red,0,0,0,0,Cotton,high,Reusable
13.644938203798539,31.06161802372703,0.006238723489483789,4.284507327640251e-05,30,140,141,Pink,0,1,0,0,Polyester,medium,Upcyclable
18.88738071767893,25.792254646510553,0.35517813666805637,0.9617656425476836,38,47,80,Beige,0,1,1,1,Polyester,low,Recyclable
8.792051380621578,25.041133885422095,0.2757224336209831,0.03233446640849341,8,108,157,Black,0,1,1,0,Polyester,medium,Repairable
21.005584146765376,27.282207118588055,0.39236826765378663,0.17527236312288327,40,88,70,Yellow,0,1,1,1,Polyester,low,Recyclable
13.19489048064956,44.6785227779545,0.6527565419591727,0.032922018393485686,62,43,148,Yellow,0,1,1,0,Polyester,medium,Repairable
15.666450001653786,6.429338776089011,0.3843108434334645,0.1555727074300084,13,238,64,Yellow,0,0,1,1,Silk,low,Recyclable
13.186347102164824,25.683584921737456,0.21581962632000587,0.11693704210619406,57,92,112,Yellow,0,1,1,0,Polyester,medium,Repairable
32.818225476071504,8.88342644022154,0.00970532284830588,0.038085213409173445,201,207,101,Green,1,0,0,0,Cotton,high,Reusable
17.892022202096527,26.666151756106977,0.243964293353903,0.08300966993356686,239,63,3,Black,0,1,1,0,Polyester,medium,Repairable
9.538312568352797,8.975761862166868,0.4094276122087161,0.21700541704516996,87,39,173,Green,0,0,1,1,Cotton,low,Recyclable
24.580359296825513,14.991598236738987,0.334392038728416,0.07421356474561817,241,133,135,Beige,1,0,1,0,Linen,medium,Repairable
8.233250800231822,16.458921029145124,0.05207836450884883,0.067362573201854,96,119,145,Red,0,0,0,0,Polyester,high,Reusable
19.670908760038042,31.709800632136506,0.4535706797812239,0.06006562058034545,247,71,243,Beige,0,1,1,0,Polyester,medium,Repairable
2.3226390089617954,31.021453327308965,0.43155906775369673,0.11913135474542441,97,97,59,Grey,0,1,1,0,Polyester,medium,Repairable
7.374511608812556,5.0513914826433854,0.0304289878238013,0.0015477932838080806,211,209,44,Green,0,0,0,0,Cotton,high,Reusable
19.574889886952988,20.659209331998184,0.07265927816748032,0.5847811129310128,191,170,71,Blue,0,0,0,1,Nylon,medium,Upcyclable
23.907732639963285,11.485041743009928,0.3760168049702211,0.39035911418927777,155,31,94,White,1,0,1,1,Linen,low,Reusable
19.370946249519765,4.8979410718959855,0.23073185418565437,0.11188690829737917,131,176,30,Black,0,0,1,0,Cotton,medium,Repairable
17.074813740894076,17.395795394907555,0.6208950835916961,0.5024359925196655,161,73,155,Blue,0,0,1,1,Nylon,low,Recyclable
15.59117043528569,16.298206538530163,0.0721284468643572,0.11093524319030268,131,225,119,Red,0,0,0,0,Cotton,high,Reusable
6.171824077060581,49.12059783614627,0.14471555560117552,0.0015412411168549407,246,214,239,Yellow,0,1,0,0,Polyester,high,Reusable
12.24124633284233,25.195517904328355,0.5179707978590865,0.0005511348421350154,69,122,63,White,0,1,1,0,Polyester,medium,Repairable
14.3148898323217,3.4685899909491518,0.09378049589154967,0.6344102921737433,185,146,164,White,0,0,0,1,Silk,medium,Upcyclable
26.456977809751326,13.222711949948692,0.012680402281858193,0.4867317857881094,85,83,66,Yellow,1,0,0,1,Cotton,medium,Upcyclable
20.74894631654769,32.25659954515278,0.038635189251099045,0.7550040330587288,3,51,108,Yellow,0,1,0,1,Polyester,medium,Upcyclable
